name,image_url,role,trend,elo,patch,region,score,games,pickrate,rolerate,winrate,banrate,tier,kda
Zyra,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Zyra.png,SUPPORT,-7.00,diamond,13.7,oce,43.36,219,0.030699999999999998,0.9240999999999999,0.4932,0.0181,B,2.11
Zoe,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Zoe.png,SUPPORT,-4.60,diamond,13.7,oce,46.93,32,0.0042,0.1143,0.5938,0.0144,B,1.98
Zoe,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Zoe.png,MID,+3.58,diamond,13.7,oce,50.75,241,0.024700000000000003,0.8606999999999999,0.5436,0.0144,A,2.98
LeBlanc,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Leblanc.png,MID,+0.66,silver,13.7,oce,53.03,4476,0.0426,0.9074,0.47700000000000004,0.0659,A,2.8
Orianna,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Orianna.png,MID,-5.14,silver,13.7,oce,45.26,1988,0.019799999999999998,0.9053,0.494,0.0027,B,2.67
Lee Sin,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/LeeSin.png,JUNGLE,-16.19,silver,13.7,oce,67.96,10249,0.0992,0.902,0.4648,0.0666,S,2.57
Zyra,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Zyra.png,SUPPORT,+9.03,bronze,13.7,oce,67.59,2815,0.041299999999999996,0.8979,0.5414,0.033,S,2.1
Zoe,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Zoe.png,,0.00,challenger,13.7,oce,0.0,4,0.023799999999999998,1.0,0.25,0.016200000000000003,Off Meta,3.53
Leona,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Leona.png,SUPPORT,+1.51,bronze,13.7,oce,53.5,3952,0.054400000000000004,0.9665,0.496,0.0526,A,2.24
Zilean,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Zilean.png,,0.00,challenger,13.7,oce,0.0,4,0.0231,0.6667000000000001,0.75,0.005600000000000001,Off Meta,4.0
Riven,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Riven.png,,0.00,grandmaster,13.7,oce,0.0,8,0.0632,1.0,0.5,0.030299999999999997,Off Meta,2.0
Aatrox,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Aatrox.png,TOP,+9.67,iron,13.7,oce,50.24,918,0.0392,0.8965000000000001,0.4771,0.0588,B,1.68
Rammus,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Rammus.png,TOP,-2.07,grandmaster,13.7,vn,39.44,105,0.022000000000000002,0.525,0.4476,0.0594,C,1.44
Zyra,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Zyra.png,SUPPORT,-2.49,master,13.7,vn,40.65,481,0.015,0.9506,0.4782,0.008199999999999999,C,2.03
Zilean,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Zilean.png,MID,-5.56,master,13.7,vn,42.7,82,0.0033,0.1449,0.5244,0.0068000000000000005,C,3.21
Zoe,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Zoe.png,MID,-1.60,master,13.7,vn,54.76,1549,0.0338,0.898,0.5357999999999999,0.0479,S,2.9
Zilean,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Zilean.png,SUPPORT,-2.58,master,13.7,vn,43.85,463,0.012199999999999999,0.818,0.48810000000000003,0.0068000000000000005,B,3.04
Ziggs,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Ziggs.png,ADC,-1.64,master,13.7,vn,36.76,146,0.0036,0.1519,0.5478999999999999,0.0029,D,2.62
Ziggs,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Ziggs.png,SUPPORT,-2.99,master,13.7,vn,38.43,138,0.0034000000000000002,0.1436,0.4783,0.0029,D,1.93
Ziggs,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Ziggs.png,MID,+4.52,master,13.7,vn,42.66,664,0.0154,0.6909000000000001,0.506,0.0029,C,2.46
Zed,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Zed.png,JUNGLE,+1.15,master,13.7,vn,44.63,1076,0.029500000000000002,0.2279,0.4851,0.2328,B,2.4
Zed,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Zed.png,MID,-4.39,master,13.7,vn,77.25,3450,0.08289999999999999,0.7308,0.5119,0.2328,S+,2.27
Zeri,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Zeri.png,ADC,+0.42,master,13.7,vn,64.94,6491,0.133,0.9721,0.5085999999999999,0.16,S+,2.59
